departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
5,antioquia,5093,BETULIA,EDS SERVICENTRO LA PERSEVERANCIA,ZEUSS,CALLE 11 B NO. 11-104,BIODIESEL EXTRA,8950,1,2018-05-03T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO SOLO PORTI,BIOMAX,VIA SN SN No. 3131 CORREGIMIENTO DE TIENDA NUEVA DE PALMIRA,BIODIESEL EXTRA,8450,1,2018-05-03T00:00:00.000
5,antioquia,5660,SAN LUIS,ESTACION DE SERVICIO LOS ARAGONES,ZEUSS,AUTOPISTA MEDELLIN - BOGOTA KILOMETRO 110 VEREDA LA PALESTINA,BIODIESEL EXTRA,8399,1,2018-05-03T00:00:00.000
5,antioquia,5658,SAN JOSE DE LA MONTAÑA,ESTACION DE SERVICIO  JMP,ZEUSS,Carrera 20 No.21-30,BIODIESEL EXTRA,8819,1,2018-05-03T00:00:00.000
5,antioquia,5172,CHIGORODO,EDS LA CURVA,ZEUSS,CALLE 95 No. 84-25,GASOLINA EXTRA OXIGENADA,11600,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ZEUSS FERROCARRIL,ZEUSS,CARRERA 54 No. 36-20,GASOLINA EXTRA OXIGENADA,11560,1,2018-05-03T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO EL DIVINO NIÑO JESUS,ESSO,CALLE 48 NO. 27A-13,GASOLINA EXTRA OXIGENADA,11850,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,TEXACO No 2,TEXACO,AVENIDA 3 N No. 23B-60,GASOLINA EXTRA OXIGENADA,11890,1,2018-05-03T00:00:00.000
5,antioquia,5197,COCORNA,ESTACION DE SERVICIOS LUZ,ZEUSS,CALLE 22 No. 23-13 P1,GASOLINA CORRIENTE OXIGENADA,8945,1,2018-05-03T00:00:00.000
76,valle del cauca,76111,GUADALAJARA DE BUGA,ESTACION DE SERVICIO BUGA NORTE SCA,TERPEL,CARRETERA CENTRAL SALIDA NORTE,BIODIESEL EXTRA,8120,1,2018-05-03T00:00:00.000
76,valle del cauca,76834,TULUA,ESSO EL PEDREGAL,MOBIL,Carrera 27 A No.40-390,GASOLINA CORRIENTE OXIGENADA,9080,1,2018-05-03T00:00:00.000
5,antioquia,5034,ANDES,SERVICENTRO COOTRASANDINA,TERPEL,Avenida Medellín No 53-08,GASOLINA EXTRA OXIGENADA,11730,1,2018-05-03T00:00:00.000
5,antioquia,5736,SEGOVIA,ESTACION DE SERVICIO FRAGUA,TERPEL,CARRERA 10 No 10-82,BIODIESEL EXTRA,8800,1,2018-05-03T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO EL DIVINO NIÑO JESUS,ESSO,CALLE 48 NO. 27A-13,BIODIESEL EXTRA,8340,1,2018-05-03T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO CUATRO ESQUINAS,ZEUSS,Diagonal 43 No.45-275,BIODIESEL EXTRA,8500,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO AUTOMOTRIZ EL CHAGUALO,ZEUSS,CALLE 60 # 56A -37,GASOLINA CORRIENTE OXIGENADA,9080,1,2018-05-03T00:00:00.000
76,valle del cauca,76869,VIJES,TERPEL VIJES,TERPEL,PARAJE SAN ISIDRO VIA PANORAMA,GASOLINA CORRIENTE OXIGENADA,8882,1,2018-05-03T00:00:00.000
5,antioquia,5034,ANDES,SERVICENTRO TERPEL LA POSESION,TERPEL,TRONCAL DEL CAFE VEREDA 17 LAS COLONIAS PREDIO 6,GASOLINA EXTRA OXIGENADA,11720,1,2018-05-03T00:00:00.000
5,antioquia,5088,BELLO,ESTACION DE SERVICIO AUTOMOTRIZ EXITO BELLO,MOBIL,DIAGONAL 51 # 35 - 120,GASOLINA EXTRA OXIGENADA,11790,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO SERVAS LTDA,TEXACO,CALLE  44   80 60,GASOLINA CORRIENTE OXIGENADA,8980,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS TERPEL LOS ANDES,TERPEL,CALLE 52 No. 1-25,GASOLINA CORRIENTE OXIGENADA,8660,1,2018-05-03T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO CRUCERO DEL OESTE ASOCIADOS SAS,MOBIL,VEREDA EL PONTEZUELA,BIODIESEL EXTRA,8595,1,2018-05-03T00:00:00.000
5,antioquia,5212,COPACABANA,EDS NUEVA COPACABANA,ZEUSS,CALLE 59 No.42-211,GASOLINA CORRIENTE OXIGENADA,8720,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,AUTOCENTRO LA PALMA 2,TERPEL,CALLE 28 No 80A-32,BIODIESEL EXTRA,8480,1,2018-05-03T00:00:00.000
5,antioquia,5360,ITAGUI,EDS TERPEL SAN FRANCISCO,TERPEL,CRA 64 No. 34 - 355,GASOLINA EXTRA OXIGENADA,11480,1,2018-05-03T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ZEUSS JOSE MARIA CORDOVA,ZEUSS,GLORIETA AEROPUERTO JOSE MARIA CORDOBA,BIODIESEL EXTRA,8640,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,PWR SERVICE,BIOMAX,Calle 5 No. 86 A - 08,GASOLINA CORRIENTE OXIGENADA,9150,1,2018-05-03T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO BIOCAR,BIOMAX,CARRERA 20G No. 14B-171,BIODIESEL EXTRA,8145,1,2018-05-03T00:00:00.000
5,antioquia,5679,SANTA BARBARA,CENTRO DE SERVICIOS ESTACION VERSALLES,TERPEL,CARRERA 10 No. 12-115,GASOLINA CORRIENTE OXIGENADA,9010,1,2018-05-03T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIOS TERPEL YUMBO,TERPEL,CALLE 16 No. 4-40,GASOLINA CORRIENTE OXIGENADA,8600,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO AUTOMOTRIZ COMBUSCOL LA 70,TEXACO,cra70#44-23,GASOLINA CORRIENTE OXIGENADA,11990,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,COMERCIALIZADORA MARTINEZ ACOSTA MONTOYA SAS,TERPEL,CALLE 54 No. 42B-04,GASOLINA CORRIENTE OXIGENADA,8850,1,2018-05-03T00:00:00.000
76,valle del cauca,76834,TULUA,ESTACION DE SERVICIO LA RIBERA,TERPEL,CARRERA 40 CALLE 25 ESQUINA,BIODIESEL EXTRA,8300,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO CHIPICHAPE CON CALLE 40 N,TERPEL,CALLE 40N No. 6A-45,BIODIESEL EXTRA,8410,1,2018-05-03T00:00:00.000
